t_s,ratio_rr,spo2_index
0.0,0.34370863720264483,100.0
0.03333333333333333,0.3436114993368757,100.0
0.06666666666666667,0.3436123718413799,100.0
0.1,0.3437039458202011,100.0
0.13333333333333333,0.3437654439175004,100.0
0.16666666666666666,0.3436303257071108,100.0
0.2,0.34330466135598936,100.0
0.23333333333333334,0.34299102001481674,100.0
0.26666666666666666,0.3425630481609157,100.0
0.3,0.341959467418172,100.0
0.3333333333333333,0.34127218518495495,100.0
0.36666666666666664,0.34009655306525366,100.0
0.4,0.3388192363763235,100.0
0.43333333333333335,0.3371856916021811,100.0
0.4666666666666667,0.3353888450004252,100.0
0.5,0.33338572135631467,100.0
0.5333333333333333,0.3310848678515321,100.0
0.5666666666666667,0.32897001868947295,100.0
0.6,0.32694327843760457,100.0
0.6333333333333333,0.3247220218729258,100.0
0.6666666666666666,0.3225410733444408,100.0
0.7,0.3206625393860336,100.0
0.7333333333333333,0.3188751756839489,100.0
0.7666666666666667,0.3171123583227728,100.0
0.8,0.3153295814961718,100.0
0.8333333333333334,0.31362360433223524,100.0
0.8666666666666667,0.3121611509530447,100.0
0.9,0.31078304351055475,100.0
0.9333333333333333,0.3103526476827038,100.0
0.9666666666666667,0.31088160575296664,100.0
1.0,0.312257388525184,100.0
1.0333333333333334,0.31388090499458,100.0
1.0666666666666667,0.31546724385964614,100.0
1.1,0.3168967744571558,100.0
1.1333333333333333,0.3185664382279863,100.0
1.1666666666666667,0.32033166342647174,100.0
1.2,0.3222512261066697,100.0
1.2333333333333334,0.32455868837848256,100.0
1.2666666666666666,0.32690018155458617,100.0
1.3,0.3292263080642491,100.0
1.3333333333333333,0.3316652095465066,100.0
1.3666666666666667,0.33421337436129916,100.0
1.4,0.3366740168507211,100.0
1.4333333333333333,0.33886499194774816,100.0
1.4666666666666666,0.34099089457331005,100.0
1.5,0.3431502075877408,100.0
1.5333333333333334,0.34524444986888947,100.0
1.5666666666666667,0.3473763755878871,100.0
1.6,0.34957276101430224,100.0
1.6333333333333333,0.35090238315110717,100.0
1.6666666666666667,0.3516200373592621,100.0
1.7,0.35196369185415494,100.0
1.7333333333333334,0.35230813085117835,100.0
1.7666666666666666,0.353107578645234,100.0
1.8,0.35450828478829777,100.0
1.8333333333333333,0.356495549543262,100.0
1.8666666666666667,0.35911323520551064,100.0
1.9,0.36196135596476253,100.0
1.9333333333333333,0.3646035036532747,100.0
1.9666666666666666,0.3670252213081008,100.0
2.0,0.3692957836904964,100.0
2.033333333333333,0.37213105941278307,100.0
2.066666666666667,0.3754776589636718,100.0
2.1,0.379304476609955,100.0
2.1333333333333333,0.38377285756332874,100.0
2.1666666666666665,0.38878124345767257,100.0
2.2,0.39401631368116175,100.0
2.2333333333333334,0.39947078812589776,100.0
2.2666666666666666,0.4050407059610005,100.0
2.3,0.4108720755509011,100.0
2.3333333333333335,0.4168702849509935,100.0
2.3666666666666667,0.42283720375554373,100.0
2.4,0.4287145565780327,100.0
2.433333333333333,0.4336960663716615,100.0
2.466666666666667,0.43799331155494964,100.0
2.5,0.4416367860133956,100.0
2.533333333333333,0.4452782427824712,100.0
2.566666666666667,0.44915036314155554,100.0
2.6,0.4535517389290484,100.0
2.6333333333333333,0.45889807314383396,100.0
2.6666666666666665,0.4651425898898086,100.0
2.7,0.4723522667279903,100.0
2.7333333333333334,0.47979809421848457,100.0
2.7666666666666666,0.48740099422077304,100.0
2.8,0.49506563585413293,100.0
2.8333333333333335,0.5021160904950004,100.0
2.8666666666666667,0.508668447169824,100.0
2.9,0.5148844287699011,100.0
2.933333333333333,0.5213480352616696,100.0
2.966666666666667,0.5279188644163189,100.0
3.0,0.5345533989603022,100.0
3.033333333333333,0.5410388720765555,100.0
3.066666666666667,0.5473271894994406,100.0
3.1,0.5535708719637693,100.0
3.1333333333333333,0.5607733193951802,100.0
3.1666666666666665,0.5687008246536376,100.0
3.2,0.577139466613452,100.0
3.2333333333333334,0.5850914398636535,100.0
3.2666666666666666,0.5920925633409996,100.0
3.3,0.5981103538245413,100.0
3.3333333333333335,0.6032413861931326,100.0
3.3666666666666667,0.6076626191695317,100.0
3.4,0.611443367770477,100.0
3.433333333333333,0.6143701105593035,100.0
3.466666666666667,0.6163464605057422,100.0
3.5,0.6176607497550627,100.0
3.533333333333333,0.618878256323431,100.0
3.566666666666667,0.6199455982884802,100.0
3.6,0.6209343239246365,100.0
3.6333333333333333,0.6213373017605756,100.0
3.6666666666666665,0.621252331967432,100.0
3.7,0.6208982877534195,100.0
3.7333333333333334,0.6205226143592828,100.0
3.7666666666666666,0.6202404540810106,100.0
3.8,0.6201094051195701,100.0
3.8333333333333335,0.6202337135364847,100.0
3.8666666666666667,0.6204167632028279,100.0
3.9,0.6208385616007116,100.0
3.933333333333333,0.6215524404450089,100.0
3.966666666666667,0.6223639337080955,100.0
4.0,0.6233363731145938,100.0
4.033333333333333,0.6242906210653372,100.0
4.066666666666666,0.6251319857069556,100.0
4.1,0.6256613131348605,100.0
4.133333333333334,0.6259201013883617,100.0
4.166666666666667,0.6260150557706364,100.0
4.2,0.6256223481966926,100.0
4.233333333333333,0.62479044374414,100.0
4.266666666666667,0.6235190057188291,100.0
4.3,0.6221421950296949,100.0
4.333333333333333,0.6216235996005623,100.0
4.366666666666666,0.6217344854916484,100.0
4.4,0.6222532281216319,100.0
4.433333333333334,0.6224279444761167,100.0
4.466666666666667,0.6220823725231975,100.0
4.5,0.621022873693258,100.0
4.533333333333333,0.6193455299737535,100.0
4.566666666666666,0.6173430380288105,100.0
4.6,0.61516168302007,100.0
