t_s,ratio_rr,spo2_index
0.0,0.6719538311129846,100.0
0.03333333333333333,0.6724544957970408,100.0
0.06666666666666667,0.6730471830789801,100.0
0.1,0.6737904515557248,100.0
0.13333333333333333,0.6746245327783481,100.0
0.16666666666666666,0.675517552660033,100.0
0.2,0.6764410422024084,100.0
0.23333333333333334,0.6772011257456553,100.0
0.26666666666666666,0.6776975066697063,100.0
0.3,0.6778736684007898,100.0
0.3333333333333333,0.6776743472417018,100.0
0.36666666666666664,0.6776451535956466,100.0
0.4,0.6776273791169315,100.0
0.43333333333333335,0.6776115385430502,100.0
0.4666666666666667,0.6770656122225588,100.0
0.5,0.6761121001225738,100.0
0.5333333333333333,0.6748597424769056,100.0
0.5666666666666667,0.6732224626305084,100.0
0.6,0.6712214316725331,100.0
0.6333333333333333,0.6690998808068942,100.0
0.6666666666666666,0.666798992663743,100.0
0.7,0.6642952938809911,100.0
0.7333333333333333,0.6614710370116919,100.0
0.7666666666666667,0.6582250607745804,100.0
0.8,0.6544656049354282,100.0
0.8333333333333334,0.6502471509115294,100.0
0.8666666666666667,0.6455994490239364,100.0
0.9,0.6405773277035675,100.0
0.9333333333333333,0.6354275018531835,100.0
0.9666666666666667,0.6302847679499547,100.0
1.0,0.6252581222523012,100.0
1.0333333333333334,0.6204349565064281,100.0
1.0666666666666667,0.61585071680138,100.0
1.1,0.6115709450658988,100.0
1.1333333333333333,0.6076414222083794,100.0
1.1666666666666667,0.6040619970679304,100.0
1.2,0.6007997129027233,100.0
1.2333333333333334,0.597733703063,100.0
1.2666666666666666,0.5946726370971768,100.0
1.3,0.5916440530568854,100.0
1.3333333333333333,0.588689332954804,100.0
1.3666666666666667,0.5858690705229128,100.0
1.4,0.5831679135841801,100.0
1.4333333333333333,0.5806995883962504,100.0
1.4666666666666666,0.5784781950786362,100.0
1.5,0.5765357558114774,100.0
1.5333333333333334,0.5748271850454468,100.0
1.5666666666666667,0.5733322178538394,100.0
1.6,0.57201057198648,100.0
1.6333333333333333,0.5708184873603,100.0
1.6666666666666667,0.5697086488969222,100.0
1.7,0.5686442517535288,100.0
1.7333333333333334,0.5676980788553796,100.0
1.7666666666666666,0.5668531805264089,100.0
1.8,0.5659918759507528,100.0
1.8333333333333333,0.565098531298222,100.0
1.8666666666666667,0.5641420547785679,100.0
1.9,0.5630213326971536,100.0
1.9333333333333333,0.5615287841633888,100.0
1.9666666666666666,0.560015570764798,100.0
2.0,0.5585180018309307,100.0
2.033333333333333,0.5570835757873613,100.0
2.066666666666667,0.5557058250146878,100.0
2.1,0.5543935245077001,100.0
2.1333333333333333,0.5530092262401305,100.0
